item_name,saurce,ingredients,ingredients
6 Pack Soft Drink, Coke ,Origin,21
6 Pack Soft Drink, Diet Coke ,Origin,24
6 Pack Soft Drink, Lemonade ,Origin,2
6 Pack Soft Drink, Nestea ,Origin,2
6 Pack Soft Drink, Sprite ,Origin,5
Barbacoa Bowl,  Rice, Cheese  ,1
Barbacoa Bowl,  Roasted Chili Corn Salsa  Medium ," Tomatillo Red Chili Salsa  Hot  ,  Pinto Beans, Rice, Fajita Veggies  ",1
Barbacoa Bowl,  Tomatillo Green Chili Salsa  Medium ," Roasted Chili Corn Salsa  Medium  ,  Black Beans, Rice, Cheese, Guacamole  ",1
Barbacoa Bowl,  Tomatillo Green Chili Salsa  Medium ," Roasted Chili Corn Salsa  Medium  ,  Rice, Fajita Veggies, Guacamole, Lettuce  ",1
Barbacoa Bowl,  Tomatillo Green Chili Salsa  Medium ," Tomatillo Red Chili Salsa  Hot  ,  Black Beans, Rice, Cheese, Lettuce  ",1
Barbacoa Bowl,  Tomatillo Red Chili Salsa  Hot ," Tomatillo Green Chili Salsa  Medium  ,  Rice, Pinto Beans, Fajita Veggies, Cheese, Sour Cream, Lettuce  ",1
Barbacoa Bowl,  Tomatillo Red Chili Salsa  Hot ," Tomatillo Green Chili Salsa  Medium  ,  Rice, Pinto Beans, Fajita Veggies, Lettuce  ",1
Barbacoa Bowl, Fresh Tomato  Mild ,"  Lettuce, Black Beans, Rice  ",1
Barbacoa Bowl, Fresh Tomato  Mild ,"  Lettuce, Rice, Cheese  ",1
Barbacoa Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce  ",2
Barbacoa Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Cheese, Sour Cream  ",2
Barbacoa Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Lettuce  ",2
Barbacoa Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",2
Barbacoa Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese  ",1
Barbacoa Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Guacamole, Lettuce  ",1
Barbacoa Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese  ",1
Barbacoa Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Sour Cream, Guacamole  ",1
Barbacoa Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Sour Cream, Lettuce  ",1
Barbacoa Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Lettuce  ",1
Barbacoa Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Sour Cream, Lettuce  ",1
Barbacoa Bowl, Fresh Tomato Salsa,"  Rice, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Barbacoa Bowl, Fresh Tomato Salsa,"  Rice, Fajita Vegetables, Black Beans, Sour Cream  ",1
Barbacoa Bowl, Fresh Tomato Salsa  Mild ,"  Black Beans, Rice, Cheese, Sour Cream, Guacamole, Lettuce  ",2
Barbacoa Bowl, Fresh Tomato Salsa  Mild ,"  Rice, Cheese, Sour Cream, Lettuce  ",2
Barbacoa Bowl, Guacamole ,Origin,1
Barbacoa Bowl, Roasted Chili Corn Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",2
Barbacoa Bowl, Roasted Chili Corn Salsa,"  Rice, Black Beans, Cheese, Sour Cream, Lettuce  ",2
Barbacoa Bowl, Roasted Chili Corn Salsa,"  Cheese, Lettuce  ",1
Barbacoa Bowl, Roasted Chili Corn Salsa,"  Fajita Vegetables, Rice, Guacamole  ",1
